topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
iran_military,UUP,dvol_z,pre,-0.06239094542513093,0.1828,216,0.23770950570342203,0.2797208053691275
iran_military,UUP,dvol_z,post,0.35246908112704234,0.0104,216,0.017677932405566598,0.026702702702702703
iran_military,UUP,signed_vol_tick,pre,-1889.625,0.8024,216,0.8381820403176543,0.8572970946579194
iran_military,UUP,signed_vol_tick,post,83245.1574074074,0.002,216,0.003825503355704698,0.006514285714285715
iran_military,UUP,OFI_bvc,pre,0.012698300773325354,0.006,216,0.010599173553719008,0.016764705882352942
iran_military,UUP,OFI_bvc,post,0.020830106429014547,3.015748193462885e-05,216,7.596668597773194e-05,0.00019835004946420188
iran_military,UUP,vpin_z,pre,0.28288235523100075,2.6355536166541128e-05,216,6.716537532754892e-05,0.00018027046660200517
iran_military,UUP,vpin_z,post,0.5064082308711823,2.4556425545958282e-06,216,6.665315505331533e-06,2.0474301635881807e-05
iran_military,XLF,logret,pre,1.1346230515943478e-05,0.3284,253,0.392702097902098,0.4353209302325582
iran_military,XLF,logret,post,-6.922979164668626e-05,0.216,253,0.27441307578008917,0.317319587628866
iran_military,XLF,vol_z,pre,-0.08533733492274505,0.0524,253,0.07704557179707652,0.10056565656565657
iran_military,XLF,vol_z,post,0.10018356165671367,0.336,253,0.40094905792044666,0.44384704519119356
iran_military,XLF,dvol_z,pre,-0.0862668175310698,0.048,253,0.07106493506493507,0.09337883959044369
iran_military,XLF,dvol_z,post,0.10183300718904437,0.3112,253,0.3771452870304748,0.4218406658739595
iran_military,XLF,signed_vol_tick,pre,-8387.237154150198,0.908,253,0.9225668449197861,0.9300269541778977
iran_military,XLF,signed_vol_tick,post,664846.5296442688,0.0332,253,0.05050889679715302,0.06819459459459459
iran_military,XLF,OFI_bvc,pre,0.0038382739280480005,0.3992,253,0.4612378378378378,0.5
iran_military,XLF,OFI_bvc,post,-0.02464923165167461,0.0016,253,0.0030915254237288137,0.005317784256559767
iran_military,XLF,vpin_z,pre,-0.40879114869712885,3.8485304902448514e-11,253,1.4061938329740802e-10,1.1249550663792642e-09
iran_military,XLF,vpin_z,post,-0.4369190657784658,2.2844154041441232e-09,253,7.599903387327725e-09,4.200376710845646e-08
iran_military,XLK,logret,pre,3.754597737637985e-05,0.026,240,0.04027173913043478,0.05519553072625698
iran_military,XLK,logret,post,-0.00013882221362092358,0.06,240,0.08731914893617021,0.11305785123966941
iran_military,XLK,vol_z,pre,-0.18778959191870445,9.222904042270006e-05,240,0.00022275658068194505,0.0005277145841154533
iran_military,XLK,vol_z,post,0.003619045627219064,0.9584,240,0.9651731448763251,0.9685957446808511
iran_military,XLK,dvol_z,pre,-0.18937779100896446,0.0004,240,0.0008571428571428572,0.0016703296703296704
iran_military,XLK,dvol_z,post,0.002041921244046859,0.9704,240,0.9749612220916569,0.9772579505300354
iran_military,XLK,signed_vol_tick,pre,-61553.57916666667,0.028,240,0.042980251346499104,0.05846153846153847
iran_military,XLK,signed_vol_tick,post,-330316.4125,0.0004,240,0.0008571428571428572,0.0016703296703296704
iran_military,XLK,OFI_bvc,pre,-0.014494266627006702,0.0116,240,0.0194852652259332,0.02906373626373626
iran_military,XLK,OFI_bvc,post,-0.009668802955989882,0.0528,240,0.07750042918454936,0.10099328859060402
iran_military,XLK,vpin_z,pre,-0.5001214896673175,9.606534942508342e-13,240,3.666780078502068e-12,4.5631040976914625e-11
iran_military,XLK,vpin_z,post,-0.48616013689386844,1.409151260477344e-10,240,4.978612924413756e-10,3.492244428139505e-09
iran_military,TSLA,logret,pre,-1.072325667285543e-06,0.9628,217,0.9690335491465567,0.9721806908768823
iran_military,TSLA,logret,post,-0.0002634159278356593,0.0144,217,0.023563636363636363,0.0342
iran_military,TSLA,vol_z,pre,-0.2923012278634014,3.5584084829800856e-14,217,1.405283719606454e-13,2.7043904470648653e-12
iran_military,TSLA,vol_z,post,-0.3379519812719571,9.875209148418808e-22,217,4.467356519522793e-21,1.8762897381995736e-19
iran_military,TSLA,dvol_z,pre,-0.29257932171655765,3.084015176720583e-14,217,1.2207560074518975e-13,2.5112695010439033e-12
iran_military,TSLA,dvol_z,post,-0.3383553374128861,7.566911302285019e-22,217,3.432206452760579e-21,1.7252557769209845e-19
iran_military,TSLA,signed_vol_tick,pre,401259.0414746544,0.0016,217,0.0030915254237288137,0.005317784256559767
iran_military,TSLA,signed_vol_tick,post,125707.87557603687,0.3184,217,0.38369556025369983,0.42753356890459365
iran_military,TSLA,OFI_bvc,pre,-0.018328253697219642,0.0016,217,0.0030915254237288137,0.005317784256559767
iran_military,TSLA,OFI_bvc,post,-0.017939823050386227,0.0004,217,0.0008571428571428572,0.0016703296703296704
iran_military,TSLA,vpin_z,pre,-0.536773097762683,1.0209682404690162e-12,217,3.888320024948814e-12,4.655615176538714e-11
iran_military,TSLA,vpin_z,post,-0.5569801517416572,3.0970153248457233e-07,217,8.991334814068229e-07,3.362473781261071e-06
iran_military,NVDA,logret,pre,-4.807266319722751e-05,0.0128,242,0.02129182879377432,0.03144827586206897
iran_military,NVDA,logret,post,-0.00012921080052368057,0.1536,242,0.20472018706157438,0.2455876577840112
iran_military,NVDA,vol_z,pre,-0.1551865715547255,0.0002829921159763702,242,0.0006469602104796585,0.0013787072291703262
iran_military,NVDA,vol_z,post,0.10845930896734277,0.2912,242,0.3546666666666667,0.3980431654676259
iran_military,NVDA,dvol_z,pre,-0.15477520015725355,0.0004,242,0.0008571428571428572,0.0016703296703296704
iran_military,NVDA,dvol_z,post,0.1069783355077021,0.2968,242,0.360972972972973,0.40472727272727277
iran_military,NVDA,signed_vol_tick,pre,22246.132231404958,0.8872,242,0.9062795698924732,0.9161304347826087
iran_military,NVDA,signed_vol_tick,post,-2253530.495867769,0.00022488729436783737,242,0.0005210803162181598,0.001144515694550601
iran_military,NVDA,OFI_bvc,pre,-0.011423854506436053,0.0784,242,0.11246979865771811,0.14369131832797427
iran_military,NVDA,OFI_bvc,post,-0.016381315728356494,0.0044,242,0.007928345626975765,0.01279591836734694
iran_military,NVDA,vpin_z,pre,-0.23472554205219928,0.0004130972532220597,242,0.0008841005043926434,0.0017187257980771828
